PN,DESP,QTY,Owner
31470900,封圈,80,HZ
33440018-3,"DISC,RUPTURE",12,HZ
7004577-903,"CONTROLLER, ALTITUDE PRESELEC",1,HZ
52400013-1,FITTING,1,HZ
52300019-1,DISC,1,HZ
396442-1,VALVE,5,HZ
397868-1-1,VALVE,2,HZ
65-44561-15,ACTUATOR,1,HZ
65-44810-6,ACTUATOR,1,HZ
R0425A113RB7,LIFE RAFT,2,HZ
323572,"BEARING, CARBON",1,HZ
2805159-1,BEARING,2,HZ
CDSP1904-505,RETAINER,11,HZ
63169,UNIT ASSY-HYD POWERTRANSFER MOTOR,1,HZ
158300-101,"ACTUATOR,AIL AND ELEVAUTO PIL",1,HZ
810209-11,AIR CYCLE MACHINE,1,HZ
2615046,螺母,10,HZ
3502689-1,轴承,3,HZ
2207333-2,轴承,2,HZ
5010520-1,刹车,1,HZ
Skydrol LD-4,液压油,340,HZ
35240130-17,充灌接头,5,HZ
AD-01040957,电池组,50,HZ
3071BPEGPL,LAMP,38,HZ
2745988-2,CAM SWITCH,1,HZ
S274A102-13,接头,3,HZ
M11787 or M12159,Reflective Coating Compound,1,HZ
E24230BA,LCD模块组件,2,HZ
63600,救生衣,280,HZ
2-1693-1,刹车,2,HZ
2612312-1,刹车,6,HZ
326968-1,BEARING,1,HZ
965-1690-055,近地警告计算机,1,HZ
E24230CA,LCD,1,HZ
753D0000-01,"ANGER-HEAT,PRI",2,HZ
347792,填充接头,2,HZ
46856-5,"BEARING,FLANGED SLEEVE",6,HZ
46856-7,"BEARING,FLANGED SLEEVE",12,HZ
622-5002-207,RADIO MAGNETIC INDICATOR,2,HZ
52400074-1,FILL FITTING,1,HZ
52400013-1,FITTING,1,HZ
52300019-1,DISC,2,HZ
35240130-13,FITTING,2,HZ
35200525,FITTING,5,HZ
100104-244,BEARING,1,HZ
35240130-1,FITTING,2,HZ
323647,SEAT,1,HZ
381800-1005,前缘缝翼作动筒,1,HZ
2-1693,刹车,1,HZ
F1722636,TRANSFORMER,1,HZ
825-654-278,REED SWITCH,2,HZ
417N3170-13,LATCH ASSY,1,HZ
BACB30NN3K31,Bolt,14,HZ
LN472-32B,"RING, RETAINING",15,HZ
051934,WASHER,278,HZ
DAN5-8-9,PIN,50,HZ
S9257-37B0875,衬套,1,HZ
2207333-2,轴承,2,HZ
64197-101,急救包,1,HZ
R00600X100A50D6,密封圈,1,HZ
AC1704,"LED,RED",1,HZ
AN3-6A,螺栓,69,HZ
697035622,697035622,14,HZ
MS24665-285,PIN     # PIN-COTTER,27,HZ
AN3H5A,小螺杆,19,HZ
AN3H6A,小螺杆,5,HZ
AN3H7A,小螺杆,29,HZ
AN3-10A,小螺杆,124,HZ
AN3H10A,小螺杆,12,HZ
AN3-12A,小螺杆,97,HZ
AN3H12A,小螺杆,20,HZ
B0305132-9,CLAMP,1,HZ
NAS1587-6,WASHER,200,HZ
41771074-501,FITTING ASSY,1,HZ
D2157160120000,BELLOWS,2,HZ
53100578-3,调整垫片,1,HZ
2017SMI,BATTERY,26,HZ
33440016-4,"DISC, RUPTURE",40,HZ
35240130-3,FITTING ASSY. FILL,30,HZ
33440016-1,RUTURE DISC,20,HZ
AMBK4-4014,LINK ASSY,2,HZ
MS14144L6,NUT,30,HZ
MS14144L4,"NUT,SELF-LKG,CASTELLATED",30,HZ
3RT1044-1QB44-3MA0,KUPS,1,HZ
3RT1946-4EA2,KUPS,2,HZ
3RT1035-1QB44-3MA0,KSSP,1,HZ
3RT1936-4EA2,KSSP,2,HZ
3RT2016-1BB41,KCL,1,HZ
D38999/20MD19SN,CONNECTOR,1,HZ
3047794-01,TUBE DRAIN,5,HZ
3047793-01,TUBE DRAIN,2,HZ
D511017AAE503,TOILET SEAT ASSY,1,HZ
622-5002-207,RADIO MAGNETIC INDICATOR,1,HZ
35200525,FITTING,4,HZ
398908-5,TEMPERATURE VALVE,1,HZ
30903871,CARTRIDGE,5,HZ
30903872,CARTRIDGE,5,HZ
33440016-9,DISC,1,HZ
35240406-1,"OUTLET, DISCHARGEM",1,HZ
35240130-12,FITTING,2,HZ
33440018-6,DISC,2,HZ
ABS-2313,Emergency Battery,18,HZ
ABS1106A10,STANDARD WASHER  FOR INSU LATION PIN,250,HZ
ABS1105A62,FIXATION PIN,100,HZ
405573,轴承,2,HZ
CS-936-02,堵盖,2,HZ
S8157CR74-063,毡垫,27,HZ
525-002-9014,螺母,1,HZ
S8157N100-032,垫片,7,HZ
1SE401-3,开关,9,HZ
AN960D10L,WASHER,397,HZ
21215TB2412,Monel凸头铆钉,20,HZ
ASNA0078A502,铝合金凸头拉铆,40,HZ
ASNA2050DXJ4007,铝合金凸头铆钉,80,HZ
ASNA2050DXJ4009,铝合金凸头铆钉,120,HZ
262539,衬垫,2,HZ
5661-1002,垫片,6,HZ
NAS1352-06-8P,螺钉,50,HZ
MS28778-8,封圈,14,HZ
PDQ032025020IX,WASHER,3,HZ
315A1814-1,螺母,3,HZ
263159,垫圈,2,HZ
NAS1835-3,蜂窝螺母,7,HZ
44994JP,SILICON BUSHING,10,HZ
2610556,垫圈,5,HZ
MS28775-385,密封,10,HZ
AVUS3451-019A,THRUST-SOMPRESSOR ASSY,1,HZ
446900,圆盘,1,HZ
MS20470AD5-5,FASTENER,22,HZ
325962,WEIGHT PLATE,5,HZ
214129,IDENTIFICATION PLATE,2,HZ
MS14145L6,SELF-LOCKING,4,HZ
3176480-2,GASKET,1,HZ
NAS1801-04-3,SCREW,31,HZ
NAS1149F0832P,WASHER,893,HZ
NAS1801-5-10,SCREW,10,HZ
NAS6203-23,BOLT,22,HZ
NAS6203-20,BOLT,48,HZ
NAS6203-7D,BOLT,15,HZ
NAS6204-20D,BOLT,27,HZ
NAS6604D18,"BOLT,DRILLED, HEX HD",21,HZ
NAS6604D10,BOLT,24,HZ
NAS6604D8,BOLT,28,HZ
NAS6703D7,BOLT,9,HZ
M897776-01,CARTRIDGE,6,HZ
40680-44,开关,1,HZ
MS28778-12,PACKING -,7,HZ
AC1762-101,Screw,9,HZ
897776-01,"CATRIDGE,FIREX",6,HZ
NAS1149E0463R,Washer,24,HZ
BACW10BX4CK,WASHER,9,HZ
A35165,BUSHING,1,HZ
A35164,PISTON,2,HZ
A35204,Spacer,3,HZ
2-8331-2,TIRE PRESSURE SENSOR,1,HZ
25-1734-13,LENS,1,HZ
54-644,SLEEVE-ADJUSTER,4,HZ
NAS1611-382A,密封圈,1,HZ
B221116-1,Seal,2,HZ
10002538,PLATE IDENTIFICATION,25,HZ
21SX39-T,MINIATURE SWITCH,6,HZ
NAS1169DD6L,WASHER,3,HZ
NAS1351-3H14P,SCREW,8,HZ
A82885,GASKET,1,HZ
69-54560-1,NUT-GLAND,1,HZ
993169,RFID TAG,90,HZ
85520147-105,Bumper Assy,1,HZ
20A-1423,万向接头,2,HZ
1978X,灯,4,HZ
10006442,DECAL，WARNING,30,HZ
MS24693C24,"SCREW, FH, 6-32 X .25",48,HZ
AS3208-08,PACKING # PACKING-PREFORMED,4,HZ
NAS77A8-013P,"BUSHING, FLANGED",2,HZ
NAS1352-3-6P,SCREW,34,HZ
NAS5902-16,BOLT,24,HZ
NAS6606D42,"BOLT,TENSION,HEX HD",2,HZ
NAS6606D38,"BOLT,TENSION,HEX HD",8,HZ
NAS6604D28,BOLT,9,HZ
NAS6604D22,BOLT,11,HZ
NAS6704D23,BOLT,7,HZ
3177934-1,调节器,2,HZ
10013825,Plate,1,HZ
BACP18BC02C08P,COTTER PIN,450,HZ
69494J904,Preformed Packing,2,HZ
MS9967-116,PACKING,3,HZ
0YX0800A01R07,DIAFRAM,10,HZ
2010-5-011-9004,EXTENSION (INFANT) BELT,6,HZ
CS-340-131,JET BREAKER,1,HZ
3507670-1WE,封圈,2,HZ
NAS1351-3-16P,小螺杆,387,HZ
NAS1102-3-16,Screw,75,HZ
NAS1102E4-16,SCREW,13,HZ
CS-204-06,Cooling Fan,1,HZ
3181768JP-1,SEAT-POPPET,2,HZ
35240130-21,充灌头,1,HZ
MS35207-260,"SCREW   # SCREW,PAN HD",4,HZ
MS124696,钢丝螺套,76,HZ
CS-223-17,Connector Housing,49,HZ
TRC4,气门芯,1,HZ
680146-008,O-RING,61,HZ
4A3613-210,限力器,2,HZ
GA31150,易熔塞,1,HZ
AN735-6,"CLAMP, LOOP TYPE BONDING",15,HZ
BA23160-1,运输销,1,HZ
MXH30-20,航空器材,1,HZ
NAS6205-27,BOLT,30,HZ
MS21076L4,托板螺母,300,HZ
B1030.22,"SEAL,GRAPHITE",1,HZ
SP47B,Washer,137,HZ
CS-905-01,扇叶,1,HZ
780122,"Connector, Crimp",4,HZ
BACR12BM211,"RING, BACK-UP",6,HZ
25-1734-15,LENS,1,HZ
A60701-1280,挡圈,4,HZ
MS17825-5,"NUT,SELF-LOCKING",46,HZ
AN960D8L,"WASHER, FLAT",500,HZ
MS20426AD3-2,Rivet,290,HZ
MS20470AD4-5,Rivet,295,HZ
AN565AC4H3,SET SCREW,12,HZ
41320747006,外侧螺纹衬套,75,HZ
D7-201-802-010,1/4T RECEPTACLE,73,HZ
3171747-3,Lock assembly,2,HZ
263159,垫圈,3,HZ
CS-298-204,加热棒,1,HZ
2047168-8,电门,4,HZ
AN3C4A,Bolt,32,HZ
MS35207-260,"SCREW   # SCREW,PAN HD",215,HZ
22445-01,WASHER,3,HZ
NAS1149C0463R,垫片,297,HZ
MS35338-43,垫片,750,HZ
NAS1149C0432R,垫片,375,HZ
50-640,"PLATE, FLUID",4,HZ
A35189,"PLATE, IDENTIFICATION",4,HZ
CS-224-07,Faston Positive Lock,36,HZ
CS-304-02,"NUT, 6 BZ-SS 3/8",15,HZ
CS-306-02,"FERRULE, 3/8” CRS",15,HZ
A35043-1,防尘盖,25,HZ
345-003-9014,FUSE,38,HZ
680146-908,垫圈,7,HZ
41300747004,钢丝螺套,5,HZ
950225040,封圈,2,HZ
8005122,封圈,1,HZ
AS3582-012,PACKING,50,HZ
MS21042L3,NUT     # NUT,100,HZ
MS21225-6,"NUT, SELF-LOCKING",6,HZ
M83461-1-005,SEAL,50,HZ
3UG4616-1CR20,KU,1,HZ
M25988/1-382,封圈,7,HZ
2603041,止动销,6,HZ
B14056-912,封圈,30,HZ
42FLW-624,Nut,29,HZ
13194-00,球珠,10,HZ
33481-004,阀杆销钉,80,HZ
12-12456P,RH THREAD DAMPER END,1,HZ
89622,GASKET,5,HZ
BACC30BL6,护圈,10,HZ
3179531-1,电门防护盖,2,HZ
MS21250H03012,BOLT    # BOLT,2,HZ
MS14145L8,"NUT, SELF-LOCKING",2,HZ
MS20470AD4-2,Rivet,500,HZ
